invokerItems,invokerSideHero1,invokerSideHero1Steam,invokerSideHero2,invokerSideHero2Steam,invokerSideHero3,invokerSideHero3Steam,invokerSideHero4,invokerSideHero4Steam,invokerSideRadiant,matchId,otherSideHero1,otherSideHero1Steam,otherSideHero2,otherSideHero2Steam,otherSideHero3,otherSideHero3Steam,otherSideHero4,otherSideHero4Steam,otherSideHero5,otherSideHero5Steam
"[20, 15, 76, 16, 237, 39, 29, 20, 16, 34, 34, 265, 36, 25, 46, 64, 65, 46, 46, 60, 23, 21, 22, 46, 108, 23, 244, 57, 99, 100, 46, 1, 47, 48, 21, 8, 115, 116]",16,167854487,64,181037512,23,373211541,36,286914324,True,3305848843,71,91494567,95,214284511,68,135490756,14,86801016,13,131062827
"[20, 15, 76, 16, 29, 38, 39, 20, 16, 34, 36, 25, 38, 64, 38, 65, 46, 60, 46, 23, 21, 22, 38, 108, 60, 47, 38, 48, 59, 61, 129, 58, 235]",48,185202677,5,116591584,96,86768178,51,87084462,True,3312410661,7,325521193,13,100157890,75,16571807,27,110503275,20,94120026
"[20, 15, 76, 16, 29, 20, 34, 36, 25, 64, 65, 38, 60, 46, 46, 46, 23, 21, 22, 108, 46, 47, 48, 24, 56, 57, 69, 122, 123, 1]",7,56196509,33,80649051,95,50862597,112,102031777,False,3311329375,85,42838727,102,287978960,4,70952389,92,50469826,5,48408290
"[20, 15, 76, 44, 44, 20, 15, 76, 77, 29, 38, 20, 16, 34, 36, 46, 43, 42, 265, 46, 25, 38, 43, 64, 38, 65, 57, 46, 23, 99, 244, 100, 43, 60, 23, 46, 21, 22, 108, 47, 48, 56, 57, 122, 69, 24, 123, 58, 57]",9,283733086,7,124849226,68,115506208,42,92512251,True,3290996919,69,91698112,48,76479171,5,39105103,76,16147520,62,98621835
"[20, 15, 76, 16, 20, 15, 76, 77, 39, 20, 34, 36, 265, 29, 46, 25, 38, 64, 65, 47, 38, 48, 23, 60, 21, 22, 108, 56, 57, 122, 69, 24, 123, 61, 59, 60, 129, 58, 235]",70,375150054,20,316861380,33,358735410,75,351659733,True,3303555278,27,196331985,14,120901780,7,207094205,77,100594231,25,105610776
"[20, 15, 76, 16, 20, 15, 77, 76, 16, 39, 34, 29, 25, 64, 65, 20, 46, 36, 38, 38, 38, 60, 23, 21, 22, 108, 46, 47, 48, 23, 57, 244, 99, 100, 1, 122, 56, 57, 69, 24, 123]",97,102191684,41,101407005,28,106332765,37,157051668,False,3295068374,8,207545962,88,114514432,23,155787222,34,118233883,86,250759828
"[20, 15, 76, 16, 39, 39, 39, 38, 20, 15, 76, 77, 38, 265, 29, 38, 25, 38, 64, 65, 23, 38, 46, 60, 21, 22, 46, 108, 46, 23, 56, 101, 102, 47, 48, 21, 18, 262, 236, 263, 10, 28, 19, 67, 19, 97, 67, 98]",113,114987520,60,74062208,31,121312218,109,193618228,True,3306594547,13,203418310,8,171871176,28,204149849,97,173947290,14,164402050
"[20, 15, 76, 16, 34, 20, 36, 20, 15, 76, 77, 38, 46, 25, 38, 46, 64, 65, 29, 46, 46, 23, 46, 21, 22, 60, 108, 46, 47, 48, 24, 56, 57, 122, 69, 38, 123, 1, 58, 61, 59, 60, 129, 235, 21, 8, 115, 116, 57, 58, 24, 96]",7,405535223,35,201833252,105,181186428,92,165238596,True,3320529145,4,295730800,40,93247181,28,74342994,110,244329388,60,127030563
"[20, 15, 76, 16, 237, 39, 20, 15, 76, 77, 38, 29, 38, 25, 38, 38, 64, 65, 60, 23, 21, 22, 46, 108, 47, 48, 23, 57, 244, 99, 100, 21, 8, 115, 116, 9, 58, 118, 119]",98,169058562,4,185187347,14,195043588,90,100937930,True,3318153509,76,293727318,102,393462105,87,325753259,84,221331966,93,135291075
"[20, 15, 76, 16, 39, 20, 34, 46, 36, 39, 29, 38, 25, 64, 38, 65, 38, 23, 38, 60, 21, 22, 108, 46, 46, 1, 46, 47, 48, 56, 57, 122, 69, 24, 123, 61, 59, 60, 129, 58, 235, 21, 8, 115, 116]",9,86723397,63,253685387,65,130315074,86,426963633,True,3298107700,112,92949094,93,137545857,108,53504682,25,87531488,71,41336506
